Report Metric,Destination Province,Origin,Purpose of Visit,Mode of Arrival,Type of Accommodation,Spending Type,Unit,01.01.2021,01.02.2021,01.03.2021,01.04.2021,01.05.2021,01.06.2021,01.07.2021,01.08.2021,01.09.2021,01.10.2021,01.11.2021,01.12.2021,01.01.2022,01.02.2022,01.03.2022,01.04.2022,01.05.2022,01.06.2022,01.07.2022,01.08.2022,01.09.2022,01.10.2022,01.11.2022,01.12.2022,01.01.2023,01.02.2023,01.03.2023,01.04.2023,01.05.2023,01.06.2023,01.07.2023,01.08.2023,01.09.2023,01.10.2023,01.11.2023,01.12.2023
Average Length of Stay,All,All,All,All,All,All,Nights,10.06230062,10.00360418,7.662279294,7.918431405,6.416545106,6.69362015,7.443163983,7.372889074,7.706787462,11.09303692,9.945000881,10.64504075,19.33746184,19.16650926,16.60941762,18.23019667,14.98162796,13.90126706,10.72670175,17.02656405,19.70871965,17.3915905,16.12335391,15.4591041,14.11514709,14.50791664,19.78996127,17.64897298,21.08240821,20.87319697,12.09591856,12.6726227,13.79578542,13.78496868,15.49607206,11.9294196
Average Spending per Night,All,All,All,All,All,All,SAR,404.69,465.34,442.67,574.51,628.08,675.85,578.4,509.1,467.8,384.68,456.41,420.79,296.48,361.8,381.31,415.51,353.74,308.38,834.56,352.59,254.46,291.49,287.82,326.3,301.79,328.53,304.6,303.01,287.03,509.62,304.68,260.11,274.87,303.26,282.35,306.95
Average Spending per Trip,All,All,All,All,All,All,SAR,4072.1,4655.04,3391.84,4549.24,4030.12,4523.88,4305.12,3753.5,3605.24,4267.24,4538.99,4479.37,5733.22,6934.4,6333.38,7574.83,5299.61,4286.9,8952.1,6003.32,5015.12,5069.52,4640.67,5044.29,4259.76,4766.29,6027.99,5347.86,6051.19,10637.48,3685.42,3296.28,3792.01,4180.43,4375.33,3661.72
Total Stay,All,All,All,All,All,All,Nights,2342.151,1250.771,1136.27,1393.891,1186.067,1174.27,1721.568,1897.517,2374.947,5024.976,4908.785,7360.168,10615.027,13206.486,20215.55,29395.953,16545.273,12055.404,18939.346,22314.547,30331.272,30483.525,29667.311,36958.487,35031.946,35628.208,56788.224,42783.599,31927.199,59436.324,16326.708,26729.514,28142.271,30203.404,34673.36,34628.588
Number of Tourists,All,All,All,All,All,All,tourists,232.765,125.032,148.294,176.031,184.845,175.431,231.295,257.364,308.163,452.985,493.593,691.418,548.936,689.04,1217.114,1612.487,1104.371,867.216,1765.626,1310.573,1538.977,1752.774,1840.021,2390.726,2481.869,2455.777,2869.547,2424.141,1514.4,2847.495,1349.77,2109.233,2039.918,2191.039,2237.558,2902.789
Total Spending,All,All,All,All,All,All,SAR,947841324.1,582029153.6,502989244.1,800808054.8,744948248,793629701.4,995754187.5,966016809,1111001132,1932996439,2240416527,3097116570,3147170615,4778075867,7708447233,12214308730,5852735543,3717671072,15806054670,7867792431,7718155654,8885720950,8538926274,12059526180,10572175300,11704957340,17297589830,12963962570,9163928087,30290166500,4974464757,6952617493,7735390722,9159477599,9790047399,10629201220
Number of Tourists,All,All,Business,All,All,All,tourists,70.329,51.087,66.527,71.206,63.521,69.077,65.405,80.709,85.453,115.101,131.097,143.599,105.343,107.211,162.75,175.428,141.474,150.989,114.53,139.504,140.42,146.041,138.716,144.287,150,144,165,147,166,129,132,146,147,169,175,194
Number of Tourists,All,All,Leisure,All,All,All,tourists,5.646,2.677,6.346,9.067,11.91,11.889,26.312,24.796,23.898,39.773,55.235,94.61,83.669,94.781,143.001,164.461,103.096,66.961,122.463,147.537,215.272,285.102,404.009,635.843,523,514,533,549,386,424,453,580,469,513,508,794
Number of Tourists,All,All,Other,All,All,All,tourists,22.115,16.753,24.465,28.77,35.358,36.099,46.77,43.967,40.704,44.915,45.578,54.51,51.245,69.943,132.671,114.668,106.716,114.209,181.787,182.794,90.152,72.205,89.749,171.218,164,157,146,122,101,101,124,127,115,126,136,226
Number of Tourists,All,All,Religious,All,All,All,tourists,3.235,2.576,2.4,6.487,6.822,3.097,11.453,4.613,28.698,51.693,63.959,88.824,84.045,199.166,371.53,720.857,280.005,13.233,809.919,369.761,618.299,819.947,823.165,885.591,1035,1105,1378,1005,348,1715,185,749,861,981,991,1115
Number of Tourists,All,All,Visiting Friends& Relatives,All,All,All,tourists,131.441,51.939,48.556,60.501,67.234,55.27,81.356,103.28,129.41,201.503,197.724,309.874,224.634,217.939,407.161,437.072,473.081,521.824,536.926,470.976,474.835,429.479,384.382,553.787,609,536,648,601,513,479,457,507,448,402,427,574
Number of Tourists,All,Africa,All,All,All,All,tourists,13.246,9.51387,18.754,32.273,16.562,9.557,16.397,10.984,13.648,21.638,31.717,24.809,15.91693,24.27482,58.20468,209.69405,52.05881,42.14465,173.50775,34.52949,54.45653,100.7246,110.46382,156.33945,141.21,144.668,320.884,298.785,74.095,373.785,29.171,68.874,124.254,137.284,127.249,201.598
Number of Tourists,All,Asia,All,All,All,All,tourists,59.398,46.334,55.803,52.014,47.153,45.826,40.051,49.327,56.647,76.613,83.656,126.467,125.92009,169.29567,309.74917,423.24115,333.90526,160.52657,561.78247,342.63949,571.10082,628.75952,590.97091,673.12301,651.334,678.481,752.286,619.294,386.348,1041.207,231.918,664.573,653.038,740.194,736.017,788.817
Number of Tourists,All,America,All,All,All,All,tourists,3.129,1.182,1.698,2.636,2.855,4.172,4.134,5.389,6.797,11.146,16.887,19.978,12.82276,15.84366,27.3911,32.99391,20.37856,14.30176,18.04332,18.79569,18.83507,26.94773,49.72041,58.81962,40.086,35.787,49.826,37.76,28.049,22.717,24.106,32.221,29.727,40.557,55.468,74.147
Number of Tourists,All,Europe,All,All,All,All,tourists,5.627,3.271,3.598,3.81,3.798,5.692,5.564,10.034,16.107,30.298,41.172,58.903,56.84086,74.04584,80.41106,111.59662,62.18581,26.76837,100.57236,59.46697,93.66542,165.96073,194.75764,264.92447,276.55,286.635,261.419,217.339,102.846,231.698,67.977,139.981,164.654,294.34,299.123,376.671
Number of Tourists,All,Gcc,All,All,All,All,tourists,77.347,35.06612,30.93499,44.6772,73.03306,63.11629,114.7412,112.54304,129.89608,159.11069,179.18321,262.84654,190.78416,213.15228,461.36388,456.64719,455.96961,421.78921,677.0049,605.77697,500.24494,485.4111,513.99144,823.2449,896.966,790.601,763.33,774.799,535.201,720.037,748.06,825.359,621.577,521.456,537.915,895.89
Number of Tourists,All,Middle East,All,All,All,All,tourists,72.283,29.393,37.168,40.305,36.984,45.828,45.98,63.3,82.908,137.69,125.795,171.803,146.34609,191.98948,279.41481,377.80997,179.4538,201.45964,233.37778,249.0909,300.17051,344.09118,379.07988,412.62984,474.087,518.058,720.019,474.808,386.603,455.321,247.881,377.362,445.272,455.169,479.744,562.961
Number of Tourists,All,Other Countries,All,All,All,All,tourists,1.735,0.272,0.338,0.316,4.46,1.24,4.428,5.787,2.16,16.489,15.183,26.611,0.305,0.438,0.579,0.504,0.419,0.226,1.33768,0.273,0.504,0.879,1.037,1.645,1.636,1.547,1.783,1.356,1.258,2.73,0.657,0.863,1.396,2.039,2.042,2.705
Number of Tourists,Albaha,All,All,All,All,All,tourists,53,27,31,48,20,139,107,19,26,78,93,53,103,756,135,365,,540,1559,294,274,19,123,,340,,,,1188,,1383,8195,3031,1703,415,2
Number of Tourists,Alqassim,All,All,All,All,All,tourists,301,1148,21503,1133,1830,710,2179,2781,2377,5492,10877,5759,20131,697,3572,2411,4717,4582,1370,7490,5202,9854,21115,120754,9200,9589,17300,1990,7621,4730,19457,11529,14391,4564,9421,16461
Number of Tourists,Aseer,All,All,All,All,All,tourists,1339,2296,624,582,239,45,107,718,134,1663,4087,8469,6,1170,2510,14,147,2202,1612,6627,2298,3245,9987,44267,12528,12560,13241,14417,8306,8631,19077,28407,17876,15924,14522,21416
Number of Tourists,Eastern,All,All,All,All,All,tourists,89529,47369,43300,49592,67673,58185,71795,101806,129410,171790,148420,208759,114939,164357,325303,293341,350596,313284,426450,361787,344460,409396,395481,498933,632931,492589,462527,513121,354705,482663,481884,551505,418936,381644,369116,525743
Number of Tourists,Hail,All,All,All,All,All,tourists,156,2898,1013,48,276,279,275,1035,490,29766,16837,37399,4697,3909,3913,5415,6081,9864,4910,3395,5393,6630,17616,63999,28913,27920,51614,29591,49748,20201,24251,26448,29867,25985,19992,23290
Number of Tourists,Jazan,All,All,All,All,All,tourists,748,16,2036,1393,95,104,80,2,3,41,14,143,94,11635,17343,,362,1731,22,,67,552,3203,458,2523,4242,1410,100,1205,1192,883,822,,22,1027,1424
Number of Tourists,Jouf,All,All,All,All,All,tourists,1778,602,731,1183,1458,1129,2093,2359,2383,775,1693,1638,4332,1147,1977,6255,2166,9931,5382,171,6265,8312,6483,2,16537,10028,17522,12962,15763,13897,14858,19362,15241,15652,18495,26391
Number of Tourists,Madinah,All,All,All,All,All,tourists,91,168,2443,52,185,176,1626,1086,145,4760,5218,3419,2422,1634,4150,1167,1308,2932,3790,3700,4613,7899,15928,71320,21751,29462,25194,63456,14661,15846,43768,17603,26114,20445,12421,30347
Number of Tourists,Makkah,All,All,All,All,All,tourists,38697,18670,37855,44743,28138,30830,38958,41358,51374,73129,133098,151873,289260,379913,641174,1098707,538301,242414,986358,681347,931621,1099915,1176629,1346654,1438682,1535632,1946028,1558043,742731,2041278,471940,1152097,1247842,1483480,1534464,1862357
Number of Tourists,Najran,All,All,All,All,All,tourists,344,406,158,48,95,104,80,41,36,636,263,1861,1,,10,,1,405,477,758,1264,483,611,3128,3154,104,,207,326,918,4037,1782,1391,113,955,4403
Number of Tourists,Northern Borders,All,All,All,All,All,tourists,2309,1517,2140,3952,5112,8934,23281,18189,16204,15606,13891,15243,15531,32249,62315,60262,57909,68087,129254,116930,39064,6599,9989,294,31059,23316,23987,20602,23093,39531,27852,38294,33270,27739,36908,30590
Number of Tourists,Riyadh,All,All,All,All,All,tourists,97024,49445,36147,70887,78427,73169,89026,85280,103833,125640,157860,255923,93455,82607,154669,136941,124311,201033,200479,128075,181414,191580,177704,238363,277064,298581,293704,206650,283954,206559,217687,243809,223916,203939,211546,342648
Number of Tourists,Tabuk,All,All,All,All,All,tourists,396,471,312,2367,1297,1629,1687,2690,1747,22841,1241,879,3967,8965,43,7608,18472,10212,3963,,17042,8288,5154,2553,7187,11754,17020,3002,11099,12049,22693,9380,8043,9829,8276,17717
Total Spending,Albaha,All,All,All,All,All,SAR,22551.98,114541.23,38707.33,33072.33,126752.2,34639.54,26791.2,95415.37,600213.17,1753381.74,93306.32,124617.58,322104.13,3131190.42,116731.53,229958.15,,134892.78,389688.64,3137823.3,736353.91,280962.97,407923.75,,1478175.45,,,,2827553.99,,3972836.47,21871808.1,7814897.52,4564939.33,773543.19,3456.77
Total Spending,Alqassim,All,All,All,All,All,SAR,628522.1,5003585.02,80286635.1,3562658.51,5347486.4,1682433.69,4952215.81,7635570.12,5657910.54,14596642.26,91339549.38,17868325.05,55443079.31,1354765.83,4935296.19,3147786.31,10774582.53,12717696.26,2150382.83,33740238.14,5401996.39,46582557.68,97284557.97,362940662.5,21402043.9,29720193.68,57194374.48,5241658.6,19273935.76,15666850.91,33448458.38,24669993.46,31862195.92,9064019.34,13978073.89,26791195.16
Total Spending,Aseer,All,All,All,All,All,SAR,2578983.19,4572254.3,1586424.51,6363314.29,286815.09,70287.92,128597.77,4020521.05,231923.11,4042903.56,34191787.65,47375524.77,32901.34,7406782.33,7911598.35,75451.31,367371.43,5891529.48,4807643.57,22577067.37,9117502.35,11937027.62,35282006.96,255203903,71216272.35,57789652.33,126205357.6,113260985.9,97602225.08,38359271.49,53598216.33,79966413.04,53418467.24,41483523.88,43269678.18,46901526.28
Total Spending,Eastern,All,All,All,All,All,SAR,210821631.6,125120529.6,108260904.6,175061259.3,200523721.2,220443562.9,233273394.5,281569575.2,225273884.9,368221003.7,324596446.2,432520580.7,182237741,736742018.1,985499208.9,784164205.6,984491191.1,685836808.9,658423122,715189401.2,638290507.5,1049433050,976515211.1,763182477,1338169462,1128397354,906349861.9,1004530495,1069073151,878604315.9,904969450.8,866500878.3,656262415.4,693282395.8,864196339.4,727010492.8
Total Spending,Hail,All,All,All,All,All,SAR,361931.1,15924612.02,4497216.63,100480.8,1773864.23,531791.16,1258070.49,3493614.49,1509679.02,123578501.1,80661847.14,121557993.8,12994390.05,16318672.24,10396949.68,25627245.12,20411702.8,19190930.69,3605816.88,10746921.99,20237467.94,19097687.5,99401543.04,120394584.5,80905150.88,341555952.2,446833800.2,61958759.28,597894850.6,103741513.8,95752114.81,100630816.3,134883214,137343800,93082466.42,78485969.98
Total Spending,Jazan,All,All,All,All,All,SAR,13769603.78,65745.3,8385718.17,7337582.19,88730.32,96990.72,75015.36,4389.56,7585.05,88095.51,36822.88,366348.98,48355.41,38243795.85,113758393.5,,338060.21,7168458.65,67365.97,,344799.14,1356175.33,11195558.84,2353244.33,6559334.56,17648776.92,4713391.63,622983.32,5150634.94,2669379.64,2087171.88,1950902.36,,55220.83,1984861.77,2549193.21
Total Spending,Jouf,All,All,All,All,All,SAR,8639097.94,3830567,2207334.77,5067279.01,4064672.32,3618435.18,6370696.68,6788588.72,9245936.95,3730537.43,8671759.92,11071047.51,17656547.24,8127462.23,7570094.52,12910471.93,9195630.2,14831498.05,6064372.09,480246.12,51334078.22,27898317.78,14751201.94,3827.28,52509480.65,40592840.06,75516979.75,22577258.59,54250897.58,42146099.93,19718336.9,31576133.43,16670124.72,21280273.18,34714456.73,25977610.02
Total Spending,Madinah,All,All,All,All,All,SAR,341495.8,477424.32,8550553.41,149400.76,788550.37,1181006.39,12535513.15,4948318.65,267656.86,12003693.95,13783910.62,17221816.3,11941002.2,9474551.63,44522398.41,2365347.12,4399947.08,16161005.5,23228246.18,11792962.8,8870845.82,27647365.18,93879246.83,407624341.9,72132624.46,108739070.2,111185065.7,467886250.2,64319450.69,71152865.25,177304170.9,46789959.71,81803833.98,60343104.06,22243284.02,53580052.43
Total Spending,Makkah,All,All,All,All,All,SAR,101626124,84157094.42,106436010.5,160725100.8,105854312.5,97096928.53,182478832,125938756.7,196146304.3,371575164.7,648525453.1,783310346.3,2428373385,3326347926,5415793320,10245536046,3860676622,1739240533,14439807799,6254224859,5902476082,6429279994,6017340115,8386311684,7554454967,8644388198,13905221556,10358924343,5000148092,28149525586,2875529535,4929508497,5943337059,7512414816,7911160991,8702624920
Total Spending,Najran,All,All,All,All,All,SAR,336530.54,10283844.71,309843.98,20972.7,41196.22,45031.41,34828.56,68886.41,61464.19,900210.3,473190,6734818.1,11130.83,,32185.4,,2339.83,158390.23,572081.58,1403199.03,5056963,1534015.44,1630218.43,10812860.8,8972559.56,2276632.24,,740733.63,935507.56,477060.87,10190990.6,5525818.39,3069800.17,640396.26,3119208.49,6261875.62
Total Spending,Northern Borders,All,All,All,All,All,SAR,3827036.93,2887022.96,4145384.71,8015263.3,10225037.48,18693237.83,36048151.84,42147251.41,36333180.09,29111110.44,30568473.39,32798718.21,15216908.48,15480505.56,28577119.56,43681012.07,40992992.8,60413311.97,93227351.72,84644697.43,24464932.96,14651816.18,12780747,713141.99,57086318.89,56343576.14,44077156.92,28825523.05,43727653.45,77673212.41,30925270.38,52286131.86,46226108.07,30732898.43,41978482.35,25657468.74
Total Spending,Riyadh,All,All,All,All,All,SAR,603942267.5,324801668.4,177036348.3,404411986.2,407827100.2,444101790.1,514262234,482011262,626210549.3,861019175.7,1001773789,1622131752,411618983,599345216.1,1089204787,1083675281,877798578.2,1136804663,565471381.2,729855015.1,899513733.8,1235503724,1165437961,1741035882,1288712271,1245332262,1583386646,897098655.2,2178635294,883163698.7,694316743.5,768930010.1,740446922.9,629187683.3,742074157.7,890275872.1
Total Spending,Tabuk,All,All,All,All,All,SAR,945547.59,4790264.44,1248162.09,29959684.57,8000009.4,6033565.98,4309846.14,7294659.37,9454844.48,140084417.2,5700191.17,4034680.5,11274087.24,16102980.6,129149.36,12895922.45,43286525.53,19121353.41,8239418.48,,152310391.4,20518256.54,13019982.09,8949569.26,18576638.44,32172834.57,36905634.89,2294928.26,30088840.36,26986648.65,72651461.43,22410131.04,19595682.76,19084528.24,17471855.16,43081584.2
Number of Tourists,All,All,All,Air,All,All,tourists,169.748,95.367,117.805,139.284,131.759,128.988,141.557,156.295,194.299,292.36,355.316,501.27,279.43,399.937,656.59,1068.305,533.977,282.275,997.889,625.586,922.702,1145.131,1191.872,1386.949,1444.984,1503.18,1878.563,1504.501,856.534,2047.621,520.285,1153.695,1278.891,1477.306,1495.248,1802.413
Number of Tourists,All,All,All,Land,All,All,tourists,63.017,29.665,30.487,35.16,52.908,45.907,85.478,101.069,113.864,160.624,138.278,190.148,261.485,283.052,552.593,536.843,566.493,580.191,757.606,679.544,610.33,601.612,636.709,988.782,1015.991,928.886,956.137,895.768,637.66,785.984,821.1,935.622,733.114,694.216,729.997,1086.279
Number of Tourists,All,All,All,Sea,All,All,tourists,0,0,0.002,1.587,0.178,0.536,4.26,0,0,0,0,0,8.021,6.051,7.931,7.339,3.901,4.75,10.131,5.443,5.945,6.031,11.44,14.995,20.894,23.711,34.847,23.872,20.206,13.89,8.385,19.916,27.913,19.517,12.313,14.097
Number of Tourists,All,All,All,All,Apartments,All,tourists,17.073,10.629,46.281,37.19,37.849,43.376,65.404,57.283,49.171,66.989,58.062,110.552,136.761,200.324,301.463,557.303,337.548,90.48,281.287,267.965,508.708,569.895,652.211,767.335,573.585,480.906,955.921,536.351,355.765,235.321,177.736,389.561,501.508,448.756,312.968,343.832
Number of Tourists,All,All,All,All,Hotel,All,tourists,107.667,65.737,53.167,78.695,76.579,86.038,94.746,102.134,130.531,195.172,243.476,297.98,276.789,295.146,533.029,711.467,408.555,274.779,659.747,401.491,498.043,653.77,739.05,833.609,1308.114,1406.515,1372.21,1116.878,637.115,1759.846,747.21,1260.082,1119.677,1371.861,1568.269,1996.218
Number of Tourists,All,All,All,All,Others,All,tourists,1.796,0.604,0.437,3.122,7.651,1.016,1.462,1.49,1.723,4.086,4.69,5.253,5.154,21.124,42.083,54.886,36.263,28.155,338.364,182.755,32.129,22.751,31.106,63.034,34.572,19.058,35.148,60.31,38.948,381.988,38.251,28.315,43.402,31.8,47.072,29.624
Number of Tourists,All,All,All,All,Private,All,tourists,106.229,48.062,48.409,57.025,62.766,45.001,69.684,96.458,126.739,186.737,187.365,277.633,130.232,172.445,340.538,288.832,322.004,473.803,486.228,458.361,500.097,506.358,417.653,726.748,565.598,549.298,506.268,710.602,482.572,470.34,386.573,431.275,375.331,338.622,309.249,533.115
Total Spending,All,All,All,All,All,Accommodation,SAR,233000000,163000000,147000000,210000000,231000000,270000000,318000000,275000000,342000000,573000000,640000000,894000000,992000000,1558000000,2469000000,3796000000,1608000000,765000000,6209000000,1528000000,1912000000,2448000000,2132000000,2905000000,3558744144,3928543174,5848817031,3608966370,2327991056,10349126530,1412768100,2151303577,2473165237,3022391803,3197872764,3474820099
Total Spending,All,All,All,All,All,Entertainment,SAR,25000000,27000000,4000000,15000000,8000000,15000000,16000000,22000000,20000000,91000000,104000000,201000000,154000000,232000000,389000000,358000000,210000000,160000000,191000000,165000000,142000000,311000000,324000000,441000000,448773889.2,515260778.9,721066376.3,391681114.9,377581716.8,253524461.3,190794027,209426467.8,181996627.3,214700713.1,236271186.1,268782774.7
Total Spending,All,All,All,All,All,Food,SAR,150000000,96000000,93000000,113000000,127000000,131000000,169000000,155000000,186000000,345000000,418000000,560000000,487000000,739000000,1203000000,1796000000,995000000,758000000,1590000000,2175000000,1916000000,1731000000,1725000000,2668000000,1469158875,1640400987,2346100025,2052962547,1695266180,3350050467,853799215.6,1034618406,1038846361,1199271697,1304093523,1439001915
Total Spending,All,All,All,All,All,Local Transport,SAR,104000000,65000000,66000000,138000000,92000000,83000000,114000000,114000000,144000000,219000000,241000000,340000000,484000000,739000000,1205000000,2044000000,929000000,580000000,1245000000,818000000,691000000,884000000,885000000,1499000000,1655770562,1843254722,2727548142,2202458712,1489327863,3230036438,807000743.5,1170122577,1315099965,1553957285,1653132782,1808376477
Total Spending,All,All,All,All,All,Other,SAR,103000000,74000000,93000000,113000000,98000000,110000000,139000000,137000000,154000000,249000000,355000000,408000000,440000000,725000000,1157000000,1787000000,788000000,407000000,3817000000,1147000000,1448000000,1560000000,1606000000,2212000000,1633681242,1791890848,2679057911,1750100183,1097416847,9060745923,652053776.9,1002174681,1191782444,1439129099,1527008147,1633276069
Total Spending,All,All,All,All,All,Shopping,SAR,333000000,156000000,100000000,212000000,189000000,185000000,241000000,264000000,265000000,455000000,482000000,694000000,591000000,784000000,1285000000,2433000000,1323000000,1047000000,2755000000,2035000000,1610000000,1952000000,1867000000,2335000000,1806046586,1985606831,2975000339,2957793647,2176344423,4046682684,1058048894,1384971778,1534500090,1730027002,1871668996,2004943881
